source_fiscal_year,address,street,num_units,pct_affordable,building_permit_date,ami_30,ami_50,ami_80,ami_120,above_moderate,note
2023-24,1541,Franklin St,5,20,7/31/2017,,,,1,4,
2023-24,212,Bay St,3,0,6/11/2018,,,,,3,in-lieu fee
2023-24,122,Strand St,3,0,6/3/2019,,,,,3,in-lieu fee
2023-24,2512,7th St,3,0,6/24/2019,,,,,3,in-lieu fee
2023-24,1900,20th St,3,0,1/12/2019,,,,,3,in-lieu fee
2023-24,949,10th St,3,0,10/13/2021,,,,,3,in-lieu fee
2023-24,3223,Wilshire Blvd,53,8,12/2/2021,4,,,,49,
2023-24,601-611,Wilshire Blvd,40,8,1/10/2023,3,,,,37,
2023-24,2501,2nd St,3,0,1/19/2022,,,,,3,in-lieu fee
2023-24,1348,10th,1,0,2/1/2022,,,,,1,
2023-24,711,Colorado Ave,56,100,3/4/2022,17,,,39,,
2023-24,3004,Broadway,4,0,4/7/2022,,,,,4,in-lieu fee
2023-24,1413,Michigan Ave,58,100,6/6/2022,57,,1,,,
2023-24,1650-1660,Lincoln Blvd,98,8,8/29/2022,8,,,,90,
2023-24,1430-1444,Lincoln Blvd,100,0,11/7/2022,,,,,100,offsite affordable at 711 Colorado Ave
2023-24,1121,22nd St,3,0,2/7/2023,,,,,3,in-lieu fee
2023-24,2425,20th,3,0,2/7/2023,,,,,3,in-lieu fee
2023-24,710,Broadway,280,30,2/22/2023,16,16,25,27,196,
2023-24,501,Broadway,94,20,10/17/2023,,19,,,75,
2023-24,1546,9th,9,22,12/11/2023,,2,,,7,
2023-24,1342,Berkeley,8,100,05/13/2024,8,,,,,
2023-24,2002-2008,21st,19,0,05/21/2024,,,,,19,
2024-25,1541,Franklin St,5,20,7/31/2017,,,,1,4,
2024-25,212,Bay St,3,0,6/11/2018,,,,,3,in-lieu fee
2024-25,122,Strand St,3,0,6/3/2019,,,,,3,in-lieu fee
2024-25,2512,7th St,3,0,6/24/2019,,,,,3,in-lieu fee
2024-25,1900,20th St,3,0,1/12/2019,,,,,3,in-lieu fee
2024-25,949,10th St,3,0,10/13/2021,,,,,3,in-lieu fee
2024-25,3223,Wilshire Blvd,53,8,12/2/2021,4,,,,49,
2024-25,601-611,Wilshire Blvd,40,8,1/10/2023,3,,,,37,
2024-25,2501,2nd St,3,0,1/19/2022,,,,,3,in-lieu fee
2024-25,1348,10th,1,0,2/1/2022,,,,,1,
2024-25,711,Colorado Ave,56,100,3/4/2022,17,,,39,,
2024-25,3004,Broadway,4,0,4/7/2022,,,,,4,in-lieu fee
2024-25,1413,Michigan Ave,58,100,6/6/2022,57,,1,,,
2024-25,1650-1660,Lincoln Blvd,98,8,8/29/2022,8,,,,90,
2024-25,1430-1444,Lincoln Blvd,100,0,11/7/2022,,,,,100,offsite affordable at 711 Colorado Ave
2024-25,1121,22nd St,3,0,2/7/2023,,,,,3,in-lieu fee
2024-25,2425,20th,3,0,2/7/2023,,,,,3,in-lieu fee
2024-25,710,Broadway,280,30,2/22/2023,16,16,25,27,196,
2024-25,501,Broadway,94,20,10/17/2023,,19,,,75,
2024-25,1546,9th,9,22,12/11/2023,,2,,,7,
2024-25,1342,Berkeley,8,100,05/13/2024,8,,,,,
2024-25,2002-2008,21st,19,0,05/21/2024,,,,,19,
2024-25,1634,20th St,78,75,2/10/2025,20,20,19,19,,
